Year,City,Population,In-migration,Out-migration,Net-migration
2013,NEVSEHIR,285460,10322,12147,-1825
2013,NIGDE,343658,14731,15493,-762
2013,ORDU,731452,30792,46332,-15540
2013,RIZE,328205,16842,15859,983
2013,SAKARYA,917373,30770,27170,3600
2013,SAMSUN,1261810,38644,42504,-3860
2013,SIIRT,314153,10866,13339,-2473
2013,SINOP,204568,12085,9869,2216
2013,SIVAS,623824,26354,30244,-3890
2013,TEKIRDAG,874475,45313,31681,13632
2013,TOKAT,598708,26987,47071,-20084
2013,TRABZON,758237,25115,29988,-4873
2013,TUNCELI,85428,8458,5612,2846
2013,SANLIURFA,1801980,33383,47429,-14046
2013,USAK,346508,10655,10493,162
2013,VAN,1070113,32118,38507,-6389
2013,YOZGAT,444211,16688,26572,-9884
2013,ZONGULDAK,601567,17006,25571,-8565
2013,AKSARAY,382806,11491,13726,-2235
2013,BAYBURT,75620,4787,4677,110
2013,KARAMAN,237939,8747,9445,-698
2013,KIRIKKALE,274658,15089,17818,-2729
2013,BATMAN,547581,18816,20209,-1393
2013,SIRNAK,475255,13031,13753,-722
2013,BARTIN,189139,7886,8133,-247
2013,ARDAHAN,102782,5254,7633,-2379
2013,IGDIR,190424,6882,9779,-2897
2013,YALOVA,220122,14670,9808,4862
2013,KARABUK,230251,13652,11676,1976
2013,KILIS,128586,6566,6161,405
2013,OSMANIYE,498981,17338,17605,-267
2013,DUZCE,351509,12367,11306,1061
2012,ADANA,2125635,45927,59294,-13367
2012,ADIYAMAN,595261,14323,22591,-8268
2012,AFYONKARAHISAR,703948,24167,21738,2429
2012,AGRI,552404,12856,27984,-15128
2012,AMASYA,322283,11228,13128,-1900
2012,ANKARA,4965542,160235,137834,22401
2012,ANTALYA,2092537,83596,62893,20703
2012,ARTVIN,167082,7286,7612,-326
2012,AYDIN,1006541,32412,29623,2789
2012,BALIKESIR,1160731,34922,35315,-393
2012,BILECIK,204116,10387,8118,2269
2012,BINGOL,262507,7569,11145,-3576
2012,BITLIS,337253,10998,16886,-5888
2012,BOLU,281080,13136,9677,3459
2012,BURDUR,254341,11473,8497,2976
2012,BURSA,2688171,67736,61520,6216
2012,CANAKKALE,493691,23252,14374,8878
2012,CANKIRI,184406,17050,10609,6441
2012,CORUM,529975,13289,20610,-7321
2012,DENIZLI,950557,24446,21992,2454
2012,DIYARBAKIR,1592167,30789,47575,-16786
2012,EDIRNE,399708,14813,13675,1138
2012,ELAZIG,562703,17108,18344,-1236
2012,ERZINCAN,217886,12192,10649,1543
2012,ERZURUM,778195,22551,33234,-10683
2012,ESKISEHIR,789750,32363,25299,7064
2012,GAZIANTEP,1799558,41672,39410,2262
2012,GIRESUN,419555,18027,17861,166
2012,GUMUSHANE,135216,11166,9001,2165
2012,HAKKARI,279982,5622,10137,-4515
2012,HATAY,1483674,27260,35139,-7879
2012,ISPARTA,416663,19731,14330,5401
2012,MERSIN,1682848,46721,53523,-6802
2012,ISTANBUL,13854740,384535,354074,30461
2012,IZMIR,4005459,105804,95954,9850
2012,KARS,304821,9706,16185,-6479
2012,KASTAMONU,359808,14340,13933,407
2012,KAYSERI,1274968,33917,30143,3774
2012,KIRKLARELI,341218,12548,11232,1316
2012,KIRSEHIR,221209,9733,9898,-165
2012,KOCAELI,1634691,62966,51561,11405
2012,KONYA,2052281,51981,48313,3668
2012,KUTAHYA,573421,20550,16702,3848
2012,MALATYA,762366,24270,28545,-4275
2012,MANISA,1346162,32211,34054,-1843
2012,KAHRAMANMARAS,1063174,19908,29467,-9559
2012,MARDIN,773026,21676,30299,-8623
2012,MUGLA,851145,33213,28301,4912
2012,MUS,413260,9914,20646,-10732
2012,NEVSEHIR,285190,10214,10859,-645
2012,NIGDE,340270,12359,13514,-1155
2012,ORDU,741371,48240,26595,21645
2012,RIZE,324152,12315,13856,-1541
2012,SAKARYA,902267,28457,23787,4670
2012,SAMSUN,1251722,32249,41561,-9312
2012,SIIRT,310879,8823,14628,-5805
2012,SINOP,201311,8277,10371,-2094
2012,SIVAS,623535,21492,27441,-5949
2012,TEKIRDAG,852321,42155,28042,14113
2012,TOKAT,613990,34725,31812,2913
2012,TRABZON,757898,21864,25478,-3614
2012,TUNCELI,86276,5171,5404,-233
2012,SANLIURFA,1762075,31890,44878,-12988
2012,USAK,342269,10351,9435,916
2012,VAN,1051975,50003,46639,3364
2012,YOZGAT,453211,14646,24525,-9879
2012,ZONGULDAK,606527,14279,22687,-8408
2012,AKSARAY,379915,10667,12374,-1707
2012,BAYBURT,75797,3664,4085,-421
2012,KARAMAN,235424,8191,8066,125
2012,KIRIKKALE,274727,13776,13912,-136
2012,BATMAN,534205,15906,20739,-4833
2012,SIRNAK,466982,11075,14617,-3542
2012,BARTIN,188436,7145,7330,-185
2012,ARDAHAN,106643,4923,5986,-1063
2012,IGDIR,190409,6429,8632,-2203
2012,YALOVA,211799,11353,9199,2154
2012,KARABUK,225145,13510,8444,5066
2012,KILIS,124320,4315,6075,-1760
2012,OSMANIYE,492135,15343,17340,-1997
2012,DUZCE,346493,10432,10579,-147
